UniProtKB:P01160	Natriuretic peptides A		GO:0043508		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR14066	protein		PMID:22399583	20190909
UniProtKB:P54851	Epithelial membrane protein 2		GO:0032147		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10671	protein		PMID:21637765	20141023
UniProtKB:P54851	Epithelial membrane protein 2		GO:0043549		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10671	protein		PMID:18469192	20141021
UniProtKB:Q9UQM7	Calcium/calmodulin-dependent protein kinase type II subunit alpha		GO:0004674		ParkinsonsUK-UCL	NCBITaxon:9606	ISS	UniProtKB:P11798	PANTHER:PTHR24347	protein		GO_REF:0000024	20140908
UniProtKB:Q9UQM7	Calcium/calmodulin-dependent protein kinase type II subunit alpha		GO:0004674	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000752"", ""label"": ""has_direct_input""}], ""id"": ""MGI:MGI:1347359"", ""label"": ""MGI:MGI:1347359""}}"	ParkinsonsUK-UCL	NCBITaxon:9606	ISS	UniProtKB:P11798	PANTHER:PTHR24347	protein		GO_REF:0000024	20140908
UniProtKB:Q9UQM7	Calcium/calmodulin-dependent protein kinase type II subunit alpha		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24347	protein		PMID:28130356	20180613
UniProtKB:Q9UQM7	Calcium/calmodulin-dependent protein kinase type II subunit alpha		GO:0004683		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR24347	protein		PMID:18305109	20170904
UniProtKB:Q9UQM7	Calcium/calmodulin-dependent protein kinase type II subunit alpha		GO:0009931		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR24347	protein		PMID:18305109	20170904
UniProtKB:Q9UQM7	Calcium/calmodulin-dependent protein kinase type II subunit alpha		GO:0016301		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24347	protein		PMID:17052756	20061124
UniProtKB:Q9UQM7	Calcium/calmodulin-dependent protein kinase type II subunit alpha		GO:0004683		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0264607|MGI:MGI:88256|MGI:MGI:88257|PANTHER:PTN002389359|RGD:2261|RGD:2262|RGD:2263|RGD:621802|UniProtKB:Q13557|UniProtKB:Q9UQM7|WB:WBGene00006779	PANTHER:PTHR24347	protein		PMID:21873635	20170228
UniProtKB:Q969V5	Mitochondrial ubiquitin ligase activator of NFKB 1		GO:0007257		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR12183	protein		PMID:18591963	20080929
UniProtKB:P54819	Adenylate kinase 2, mitochondrial		GO:0004017		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR23359	protein		PMID:6182143	20150207
UniProtKB:P35790	Choline kinase alpha		GO:0004103		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR22603	protein		PMID:19915674	20091125
UniProtKB:P35790	Choline kinase alpha		GO:0004305		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR22603	protein		PMID:19915674	20091125
UniProtKB:Q14CZ7	FAST kinase domain-containing protein 3, mitochondrial		GO:0004672		InterPro	NCBITaxon:9606	IEA	InterPro:IPR010622	PANTHER:PTHR21228	protein		GO_REF:0000002	20190907
UniProtKB:O60583	Cyclin-T2		GO:0000079		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR10026	protein		PMID:9499409	20030904
UniProtKB:O60583	Cyclin-T2		GO:0045737		GOC	NCBITaxon:9606	IEA	GO:0061575	PANTHER:PTHR10026	protein		GO_REF:0000108	20190914
UniProtKB:O60583	Cyclin-T2		GO:0061575		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000002653|PomBase:SPBC530.13	PANTHER:PTHR10026	protein		PMID:21873635	20180913
UniProtKB:O60583	Cyclin-T2		GO:0016538		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0004597|PANTHER:PTN000002458|PomBase:SPBC530.13|PomBase:SPBP16F5.02|SGD:S000004216|SGD:S000004970|SGD:S000006229|UniProtKB:C9K506	PANTHER:PTHR10026	protein		PMID:21873635	20180910
UniProtKB:O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta		GO:0004672		UniProt	NCBITaxon:9606	NAS		PANTHER:PTHR14030	protein		PMID:9763420	20060123
UniProtKB:O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta		GO:0004674		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0723	PANTHER:PTHR14030	protein		GO_REF:0000037	20190914
UniProtKB:O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta		GO:0004672		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000361607|SGD:S000003420	PANTHER:PTHR14030	protein		PMID:21873635	20170228
UniProtKB:O60565	Gremlin-1		GO:0007171		GOC	NCBITaxon:9606	IEA	GO:0030297	PANTHER:PTHR15283	protein		GO_REF:0000108	20190914
UniProtKB:O60565	Gremlin-1		GO:0030297		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:O70326	PANTHER:PTHR15283	protein		GO_REF:0000024	20131219
UniProtKB:O60565	Gremlin-1		GO:0061098		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O70326|ensembl:ENSMUSP00000097170	PANTHER:PTHR15283	protein		GO_REF:0000107	20190816
UniProtKB:O60563	Cyclin-T1		GO:0000079		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR10026	protein		PMID:9499409	20030904
UniProtKB:O60563	Cyclin-T1		GO:0045737		GOC	NCBITaxon:9606	IEA	GO:0061575	PANTHER:PTHR10026	protein		GO_REF:0000108	20190914
UniProtKB:O60563	Cyclin-T1		GO:0061575		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000002653|PomBase:SPBC530.13	PANTHER:PTHR10026	protein		PMID:21873635	20180913
UniProtKB:O60563	Cyclin-T1		GO:0016538		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0004597|PANTHER:PTN000002458|PomBase:SPBC530.13|PomBase:SPBP16F5.02|SGD:S000004216|SGD:S000004970|SGD:S000006229|UniProtKB:C9K506	PANTHER:PTHR10026	protein		PMID:21873635	20180910
UniProtKB:Q9NR96	Toll-like receptor 9		GO:0043507		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR47410	protein		PMID:17128265	20091030
UniProtKB:Q9Y2I7	1-phosphatidylinositol 3-phosphate 5-kinase		GO:0000285		UniProt	NCBITaxon:9606	IEA	EC:2.7.1.150	PANTHER:PTHR46715	protein		GO_REF:0000003	20190914
UniProtKB:Q9Y2I7	1-phosphatidylinositol 3-phosphate 5-kinase		GO:0016308		HGNC	NCBITaxon:9606	TAS		PANTHER:PTHR46715	protein		PMID:15046600	20050224
UniProtKB:Q9UQB9	Aurora kinase C		GO:0004672		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24350	protein		PMID:15670791	20110427
UniProtKB:Q9UQB9	Aurora kinase C		GO:0004712		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR24350	protein		PMID:19774610	20110912
UniProtKB:Q9UQB9	Aurora kinase C		GO:0035174		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:107168|MGI:MGI:894678|PANTHER:PTN000681967	PANTHER:PTHR24350	protein		PMID:21873635	20170228
UniProtKB:O60825	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2		GO:0003873		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10606	protein		PMID:11069105	20110728
UniProtKB:O60825	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2		GO:0033133		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9JJH5|ensembl:ENSRNOP00000005729	PANTHER:PTHR10606	protein		GO_REF:0000107	20190816
UniProtKB:O60825	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2		GO:0003873		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000743282|RGD:3307|RGD:3310|SGD:S000001369|UniProtKB:O60825	PANTHER:PTHR10606	protein		PMID:21873635	20180309
UniProtKB:Q96QT4	Transient receptor potential cation channel subfamily M member 7		GO:0004674		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0723	PANTHER:PTHR13800	protein		GO_REF:0000037	20190914
UniProtKB:P56279	T-cell leukemia/lymphoma protein 1A		GO:0043539		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR14060	protein		PMID:10983986	20170524
UniProtKB:P56279	T-cell leukemia/lymphoma protein 1A		GO:0071902		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR14060	protein		PMID:10983986	20170524
UniProtKB:P56279	T-cell leukemia/lymphoma protein 1A		GO:0043539		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000362401|UniProtKB:O95988|UniProtKB:P56278|UniProtKB:P56279	PANTHER:PTHR14060	protein		PMID:21873635	20181005
UniProtKB:P56278	Protein p13 MTCP-1		GO:0043539		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR14060	protein		PMID:10983986	20170524
UniProtKB:P56278	Protein p13 MTCP-1		GO:0071902		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR14060	protein		PMID:10983986	20170524
UniProtKB:P56278	Protein p13 MTCP-1		GO:0043539		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000362401|UniProtKB:O95988|UniProtKB:P56278|UniProtKB:P56279	PANTHER:PTHR14060	protein		PMID:21873635	20181005
UniProtKB:O15197	Ephrin type-B receptor 6		GO:0005003		InterPro	NCBITaxon:9606	IEA	InterPro:IPR001426|InterPro:IPR016257	PANTHER:PTHR24416	protein		GO_REF:0000002	20190907
UniProtKB:O15197	Ephrin type-B receptor 6		GO:0004714		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0003733|FB:FBgn0040505|FB:FBgn0283499|MGI:MGI:109378|MGI:MGI:1339758|MGI:MGI:1345277|MGI:MGI:95276|MGI:MGI:95294|MGI:MGI:95522|MGI:MGI:95524|MGI:MGI:95558|MGI:MGI:95561|MGI:MGI:96677|MGI:MGI:96683|MGI:MGI:96969|MGI:MGI:97384|MGI:MGI:97530|MGI:MGI:97902|MGI:MGI:98277|MGI:MGI:99611|MGI:MGI:99612|MGI:MGI:99654|PANTHER:PTN002356460|RGD:2543|RGD:2611|RGD:2621|RGD:2869|RGD:2917|RGD:2965|RGD:3082|RGD:3213|RGD:3214|RGD:3284|RGD:3285|RGD:620144|RGD:620714|RGD:620831|RGD:621737|UniProtKB:P00533|UniProtKB:P04626|UniProtKB:P04629|UniProtKB:P06213|UniProtKB:P07333|UniProtKB:P07949|UniProtKB:P08069|UniProtKB:P09619|UniProtKB:P10721|UniProtKB:P11362|UniProtKB:P14616|UniProtKB:P16234|UniProtKB:P17948|UniProtKB:P21709|UniProtKB:P21802|UniProtKB:P22455|UniProtKB:P22607|UniProtKB:P29317|UniProtKB:P29320|UniProtKB:P35916|UniProtKB:P35968|UniProtKB:P54753|UniProtKB:P54760|UniProtKB:P54762|UniProtKB:Q08345|UniProtKB:Q15303|UniProtKB:Q16620|UniProtKB:Q16832|UniProtKB:Q5JZY3|UniProtKB:Q91987|UniProtKB:Q9UM73|WB:WBGene00000289|WB:WBGene00006868|WB:WBGene00020504|ZFIN:ZDB-GENE-980526-255	PANTHER:PTHR24416	protein		PMID:21873635	20180820
UniProtKB:Q96QP1	Alpha-protein kinase 1		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR46747	protein		PMID:30111836	20180904
UniProtKB:P24385	G1/S-specific cyclin-D1		GO:0045737		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10177	protein		PMID:8114739	20071122
UniProtKB:P24385	G1/S-specific cyclin-D1		GO:0016538		GO_Central	NCBITaxon:9606	IBA	CGD:CAL0000175354|FB:FBgn0000404|FB:FBgn0000405|FB:FBgn0010315|FB:FBgn0010317|FB:FBgn0010382|MGI:MGI:1329034|MGI:MGI:88313|MGI:MGI:88316|PANTHER:PTN000019791|SGD:S000000038|SGD:S000002314|SGD:S000003340|SGD:S000003341|SGD:S000004200|SGD:S000004812|SGD:S000006177|SGD:S000006323|SGD:S000006324|WB:WBGene00000865|WB:WBGene00000868|WB:WBGene00000871	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:P24385	G1/S-specific cyclin-D1		GO:0000079		GO_Central	NCBITaxon:9606	IBA	CGD:CAL0000175354|CGD:CAL0000185532|PANTHER:PTN000019791|SGD:S000000038|SGD:S000002314|SGD:S000003340|SGD:S000003341|SGD:S000004200|SGD:S000004812|SGD:S000006177|SGD:S000006323|SGD:S000006324	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:P24385	G1/S-specific cyclin-D1	contributes_to	GO:0004672		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:88313|PANTHER:PTN000019791	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:O15169	Axin-1		GO:0032147		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR46102	protein		PMID:9601641	20100729
UniProtKB:O15164	Transcription intermediary factor 1-alpha		GO:0004672		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q64127|ensembl:ENSMUSP00000031859	PANTHER:PTHR45915	protein		GO_REF:0000107	20190816
UniProtKB:O15146	Muscle, skeletal receptor tyrosine-protein kinase		GO:0004713		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q62838	PANTHER:PTHR24416	protein		GO_REF:0000024	20111111
UniProtKB:O15146	Muscle, skeletal receptor tyrosine-protein kinase		GO:0004714		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0003733|FB:FBgn0040505|FB:FBgn0283499|MGI:MGI:109378|MGI:MGI:1339758|MGI:MGI:1345277|MGI:MGI:95276|MGI:MGI:95294|MGI:MGI:95522|MGI:MGI:95524|MGI:MGI:95558|MGI:MGI:95561|MGI:MGI:96677|MGI:MGI:96683|MGI:MGI:96969|MGI:MGI:97384|MGI:MGI:97530|MGI:MGI:97902|MGI:MGI:98277|MGI:MGI:99611|MGI:MGI:99612|MGI:MGI:99654|PANTHER:PTN002356460|RGD:2543|RGD:2611|RGD:2621|RGD:2869|RGD:2917|RGD:2965|RGD:3082|RGD:3213|RGD:3214|RGD:3284|RGD:3285|RGD:620144|RGD:620714|RGD:620831|RGD:621737|UniProtKB:P00533|UniProtKB:P04626|UniProtKB:P04629|UniProtKB:P06213|UniProtKB:P07333|UniProtKB:P07949|UniProtKB:P08069|UniProtKB:P09619|UniProtKB:P10721|UniProtKB:P11362|UniProtKB:P14616|UniProtKB:P16234|UniProtKB:P17948|UniProtKB:P21709|UniProtKB:P21802|UniProtKB:P22455|UniProtKB:P22607|UniProtKB:P29317|UniProtKB:P29320|UniProtKB:P35916|UniProtKB:P35968|UniProtKB:P54753|UniProtKB:P54760|UniProtKB:P54762|UniProtKB:Q08345|UniProtKB:Q15303|UniProtKB:Q16620|UniProtKB:Q16832|UniProtKB:Q5JZY3|UniProtKB:Q91987|UniProtKB:Q9UM73|WB:WBGene00000289|WB:WBGene00006868|WB:WBGene00020504|ZFIN:ZDB-GENE-980526-255	PANTHER:PTHR24416	protein		PMID:21873635	20180820
UniProtKB:Q13098	COP9 signalosome complex subunit 1		GO:0000188		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR14145	protein		PMID:8943324	20030904
UniProtKB:Q13094	Lymphocyte cytosolic protein 2		GO:0045860		CACAO	NCBITaxon:9606	IEP		PANTHER:PTHR14098	protein		PMID:14624253	20111004
UniProtKB:P12956	X-ray repair cross-complementing protein 6		GO:0045860		CAFA	NCBITaxon:9606	IDA		PANTHER:PTHR12604	protein		PMID:22504299	20170124
UniProtKB:O15111	Inhibitor of nuclear factor kappa-B kinase subunit alpha		GO:0004672		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR22969	protein		PMID:20434986	20100804
UniProtKB:O15111	Inhibitor of nuclear factor kappa-B kinase subunit alpha		GO:0008384		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR22969	protein		PMID:18626576	20110912
UniProtKB:O15111	Inhibitor of nuclear factor kappa-B kinase subunit alpha	contributes_to	GO:0008384		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1338071|PANTHER:PTN000540281|RGD:1306661	PANTHER:PTHR22969	protein		PMID:21873635	20170228
UniProtKB:O15111	Inhibitor of nuclear factor kappa-B kinase subunit alpha		GO:0004674		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0024222|FB:FBgn0086657|MGI:MGI:1929658|PANTHER:PTN001491808|UniProtKB:O14920|UniProtKB:Q9UHD2	PANTHER:PTHR22969	protein		PMID:21873635	20170228
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004672		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24418	protein		PMID:18616680	20090316
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004672		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-354124	20110213
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004672		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-418163	20100608
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR24418	protein		PMID:11448999	20130814
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR24418	protein		PMID:12923167	20110802
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR24418	protein		PMID:1381360	20110905
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR24418	protein		PMID:15735019	20171023
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000752"", ""label"": ""has_direct_input""}], ""id"": ""UniProtKB:Q14764"", ""label"": ""UniProtKB:Q14764""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24418	protein		PMID:16441665	20130307
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR24418	protein		PMID:18697750	20110905
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000015"", ""label"": ""has_regulation_target""}], ""id"": ""UniProtKB:Q05655"", ""label"": ""UniProtKB:Q05655""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24418	protein		PMID:19059439	20150917
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR24418	protein		PMID:20100835	20160906
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		CAFA	NCBITaxon:9606	IMP		PANTHER:PTHR24418	protein		PMID:20624904	20161201
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		CAFA	NCBITaxon:9606	IMP		PANTHER:PTHR24418	protein		PMID:25425738	20161208
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713	"{""relationship"": {""relation"": [{""id"": ""RO:0002233"", ""label"": ""has input""}], ""id"": ""UniProtKB:P10636"", ""label"": ""UniProtKB:P10636""}}"	ARUK-UCL	NCBITaxon:9606	NAS		PANTHER:PTHR24418	protein		PMID:28386764	20180122
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR24418	protein		PMID:9799234	20110905
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-112333	20160617
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-1295609	20150207
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-1433506	20110713
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-177937	20150207
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-377640	20140115
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-380780	20171204
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-429441	20100903
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-4420121	20140115
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-4420128	20140115
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-445084	20140115
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-5607750	20150207
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-8874080	20160525
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-8876948	20160617
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004713		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-9603420	20180321
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004715		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		PMID:19267251	20100325
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004715	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000752"", ""label"": ""has_direct_input""}], ""id"": ""UniProtKB:Q05397"", ""label"": ""UniProtKB:Q05397""}}"	ARUK-UCL	NCBITaxon:9606	NAS		PANTHER:PTHR24418	protein		PMID:20018849	20180719
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0016301		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-191636	20070123
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0016301		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		Reactome:R-HSA-8948143	20161110
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0032148		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9WUD9|ensembl:ENSRNOP00000071837	PANTHER:PTHR24418	protein		GO_REF:0000107	20190816
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0043406		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9WUD9|ensembl:ENSRNOP00000071837	PANTHER:PTHR24418	protein		GO_REF:0000107	20190816
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0043552		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9WUD9|ensembl:ENSRNOP00000071837	PANTHER:PTHR24418	protein		GO_REF:0000107	20190816
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0045737		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9WUD9|ensembl:ENSRNOP00000071837	PANTHER:PTHR24418	protein		GO_REF:0000107	20190816
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0071902	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000015"", ""label"": ""has_regulation_target""}], ""id"": ""UniProtKB:Q05655"", ""label"": ""UniProtKB:Q05655""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24418	protein		PMID:19059439	20150917
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:1903997	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000752"", ""label"": ""has_direct_input""}], ""id"": ""UniProtKB:Q05397"", ""label"": ""UniProtKB:Q05397""}}"	ARUK-UCL	NCBITaxon:9606	NAS		PANTHER:PTHR24418	protein		PMID:20018849	20180719
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0004715		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:95527|PANTHER:PTN002521528|UniProtKB:P09769|UniProtKB:P51451|UniProtKB:Q13882|WB:WBGene00005077	PANTHER:PTHR24418	protein		PMID:21873635	20170228
UniProtKB:Q13057	Bifunctional coenzyme A synthase		GO:0004140		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10695	protein		PMID:11923312	20130404
UniProtKB:Q13057	Bifunctional coenzyme A synthase		GO:0004140		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10695	protein		PMID:11994049	20051021
UniProtKB:Q13057	Bifunctional coenzyme A synthase		GO:0004140		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR10695	protein		Reactome:R-HSA-196773	20130222
UniProtKB:Q13057	Bifunctional coenzyme A synthase		GO:0004140		GO_Central	NCBITaxon:9606	IBA	EcoGene:EG12312|MGI:MGI:1918993|PANTHER:PTN000075336|TAIR:locus:2038663|UniProtKB:P9WPA3|UniProtKB:Q13057|UniProtKB:Q8MIR4	PANTHER:PTHR10695	protein		PMID:21873635	20170228
UniProtKB:Q01664	Transcription factor AP-4		GO:0045736		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR15741	protein		PMID:18818310	20100215
UniProtKB:Q6PFW1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1		GO:0000827		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR12750	protein		PMID:17412958	20080201
UniProtKB:Q6PFW1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1		GO:0000828		MGI	NCBITaxon:9606	IDA		PANTHER:PTHR12750	protein		PMID:17690096	20151028
UniProtKB:Q6PFW1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1		GO:0000832		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR12750	protein		PMID:17412958	20080201
UniProtKB:Q6PFW1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1		GO:0033857		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR12750	protein		PMID:17412958	20080201
UniProtKB:Q6PFW1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1		GO:0052723		UniProt	NCBITaxon:9606	IEA	EC:2.7.4.21	PANTHER:PTHR12750	protein		GO_REF:0000003	20190914
UniProtKB:Q6PFW1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1		GO:0052724		UniProt	NCBITaxon:9606	IEA	EC:2.7.4.21	PANTHER:PTHR12750	protein		GO_REF:0000003	20190914
